ID,歌名,創作人,分類,發佈時間,情緒詞彙數,斷詞數,樂,好,怒,哀,懼,惡,驚,正面情緒值,負面情緒值,正負面情緒值,詞均樂,詞均好,詞均怒,詞均哀,詞均懼,詞均惡,詞均驚,詞均正面情緒值,詞均負面情緒值,詞均正負面情緒值
StreetVoice0134,面向自己 (feat. SEMIFUSA),Hello Nico,Alternative,2016-07-25,13,99,10.0,6.6,0,5.0,0,-4.05,0,16.6,0.9500000000000002,15.650000000000002,0.10101010101010101,0.06666666666666667,0.0,0.050505050505050504,0.0,-0.04090909090909091,0.0,0.1676767676767677,0.009595959595959597,0.1580808080808081
StreetVoice0135,黃襯衫平瀏海小眼睛男孩 demo,洪安妮 AnnieHung,Folk,2012-02-27,32,127,34.25,32.25,0,11.0,0,15.8,5.0,71.5,26.8,44.7,0.26968503937007876,0.25393700787401574,0.0,0.08661417322834646,0.0,0.12440944881889765,0.03937007874015748,0.562992125984252,0.2110236220472441,0.3519685039370079
StreetVoice0136,半心,渣泥ZANI,Pop,2018-02-21,17,105,0,5.0,0,0,5.0,13.0,0,5.0,18.0,-13.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.12380952380952381,0.0,0.047619047619047616,0.17142857142857143,-0.12380952380952381
StreetVoice0137,失蹤人口 【Demo】,甜約翰 Sweet John,Electronic,2016-07-21,15,65,7.0,5.5,0,-2.0,0,2.5,0,12.5,0.5,12.0,0.1076923076923077,0.08461538461538462,0.0,-0.03076923076923077,0.0,0.038461538461538464,0.0,0.19230769230769232,0.007692307692307693,0.18461538461538463
StreetVoice0138,本來就是生來不同demo,洪安妮 AnnieHung,Singer / Songwriter,2016-03-04,25,93,5.0,43.25,0,3.0,3.0,19.95,5.0,53.25,25.95,27.3,0.053763440860215055,0.4650537634408602,0.0,0.03225806451612903,0.03225806451612903,0.21451612903225806,0.053763440860215055,0.5725806451612904,0.27903225806451615,0.2935483870967742
StreetVoice0139,am3:00(speak gently)demo,洪安妮 AnnieHung,Religion,2015-11-30,19,91,0,55.0,0,0,3.0,-5.0,0,55.0,-2.0,57.0,0.0,0.6043956043956044,0.0,0.0,0.03296703296703297,-0.054945054945054944,0.0,0.6043956043956044,-0.02197802197802198,0.6263736263736264
StreetVoice0140,別等我回來,Hello Nico,Pop,2015-01-02,25,156,0,10.25,0,14.0,0,28.0,6.25,16.5,42.0,-25.5,0.0,0.06570512820512821,0.0,0.08974358974358974,0.0,0.1794871794871795,0.04006410256410257,0.10576923076923077,0.2692307692307692,-0.16346153846153846
StreetVoice0141,蒙毅將軍DEMO,南西肯恩,Singer / Songwriter,2018-02-25,30,156,0,40.0,0,21.125,10.5,40.625,0,40.0,72.25,-32.25,0.0,0.2564102564102564,0.0,0.13541666666666666,0.0673076923076923,0.2604166666666667,0.0,0.2564102564102564,0.46314102564102566,-0.20673076923076922
StreetVoice0142,追光者 (Live at Blue Note Beijing 2017),thisisyoyo,Folk,2018-01-16,30,221,15.0,17.0,0,12.800000000000004,0,-3.9000000000000004,0,32.0,8.900000000000004,23.099999999999994,0.06787330316742081,0.07692307692307693,0.0,0.05791855203619911,0.0,-0.017647058823529415,0.0,0.14479638009049775,0.0402714932126697,0.10452488687782803
StreetVoice0143,蒸發 Demo,好樂團 GoodBand,Pop,2016-11-07,33,256,0,0,0,44.89,0,1.5,0,0,46.39,-46.39,0.0,0.0,0.0,0.1753515625,0.0,0.005859375,0.0,0.0,0.1812109375,-0.1812109375
